facility_id,latitude,longitude,square_footage
north-carolina_alexander_5317_287_6_1_0_17_-43_13856_00,35.9346608792691,-81.1355785734853,56397.6396
north-carolina_alexander_5334_287_6_1_0_17_-43_13873_00,35.98058472096833,-81.13496740530746,28787.73058
north-carolina_alexander_5407_287_6_1_0_17_-42_13854_00,35.9319322379079,-81.13265132119854,39453.74142
north-carolina_alexander_5484_287_6_1_0_17_-41_13834_00,35.87993938817345,-81.12957398864255,50862.86252
north-carolina_alexander_5536_287_6_1_0_17_-41_13886_00,36.0128548193478,-81.12973436515048,55818.57134
north-carolina_alexander_5583_287_6_1_0_17_-40_13835_00,35.88258823398973,-81.1263017741185,94160.108
north-carolina_alexander_5675_287_6_1_0_17_-39_13828_00,35.862574273724775,-81.12385113994488,39102.69154
north-carolina_alexander_5712_287_6_1_0_17_-39_13865_00,35.959474254761645,-81.12385370381568,46970.14586
north-carolina_alexander_5860_287_6_1_0_17_-37_13814_00,35.82683856659637,-81.11516033248769,107895.34466
north-carolina_alexander_5911_287_6_1_0_17_-37_13865_00,35.95947477385977,-81.11619725748768,49509.51602
north-carolina_alexander_6011_287_6_1_0_17_-36_13864_00,35.956323133573896,-81.11215193662619,35154.2006
north-carolina_alexander_6013_287_6_1_0_17_-36_13866_00,35.9608802049883,-81.11339689673325,65065.61888
north-carolina_alexander_6025_287_6_1_0_17_-36_13878_00,35.9936210156931,-81.11393107587867,77485.2387
north-carolina_alexander_6051_287_6_1_0_17_-35_13803_00,35.79799163101412,-81.10987205927226,70021.3277
north-carolina_alexander_6111_287_6_1_0_17_-35_13863_00,35.952734527226426,-81.11083804371478,75446.19664
north-carolina_alexander_6126_287_6_1_0_17_-35_13878_00,35.99126212178639,-81.10974325047948,72119.42488
north-carolina_alexander_6225_287_6_1_0_17_-34_13876_00,35.98645039221894,-81.10580810522227,55739.83118
north-carolina_alexander_6334_287_6_1_0_17_-33_13886_00,36.01259671650111,-81.10506234159253,78126.64292
north-carolina_alexander_6350_287_6_1_0_17_-32_13804_00,35.8017598057201,-81.10118408559586,49020.67086
north-carolina_alexander_6362_287_6_1_0_17_-32_13816_00,35.83113547316695,-81.10120403147046,106566.60446
north-carolina_alexander_640_287_6_1_0_17_-99_13842_00,35.900127606531086,-81.31442774274433,68023.29614
north-carolina_alexander_6427_287_6_1_0_17_-32_13881_00,35.99903316184797,-81.10152238483288,86619.09726
north-carolina_alexander_6473_287_6_1_0_17_-31_13832_00,35.875001641962115,-81.09588385972279,90795.60658
north-carolina_alexander_6489_287_6_1_0_17_-31_13848_00,35.915905755402925,-81.09709330922223,66227.03624
north-carolina_alexander_6503_287_6_1_0_17_-31_13862_00,35.95029403056771,-81.09835139411648,97442.58842
north-carolina_alexander_6514_287_6_1_0_17_-31_13873_00,35.98077331123677,-81.09797451154435,38385.828
north-carolina_alexander_6581_287_6_1_0_17_-30_13848_00,35.91555130009985,-81.0942726531013,73508.86062
north-carolina_alexander_6607_287_6_1_0_17_-30_13874_00,35.98254235631361,-81.09533693830181,99729.3339
north-carolina_alexander_6616_287_6_1_0_17_-30_13883_00,36.004166558964876,-81.09356431095836,69760.50092
north-carolina_alexander_6643_287_6_1_0_17_-29_13819_00,35.84111514589815,-81.08979773761419,107805.12156
north-carolina_alexander_6790_287_6_1_0_17_-28_13875_00,35.98672017317725,-81.08948282704532,74991.8003
north-carolina_alexander_6742_287_6_1_0_17_-28_13827_00,35.861395236633584,-81.08828634343992,59822.83656
north-carolina_alexander_6746_287_6_1_0_17_-28_13831_00,35.87042990160689,-81.08860454125619,87750.98706
north-carolina_alexander_6900_287_6_1_0_17_-26_13806_00,35.80691560487188,-81.08230285531843,72086.61648
north-carolina_alexander_6821_287_6_1_0_17_-27_13816_00,35.831925333758704,-81.08374573413886,123029.85958
north-carolina_alexander_6884_287_6_1_0_17_-27_13879_00,35.99420281315721,-81.08558410747831,42432.74414
north-carolina_alexander_6899_287_6_1_0_17_-26_13805_00,35.804629458352444,-81.08068487342167,41917.65226
north-carolina_alexander_6901_287_6_1_0_17_-26_13807_00,35.80937940648883,-81.08218908688326,73172.57452
