image_id,true_naip_year,longitude,latitude,modeled_naip_year
286_6_1_0_17_847_13536,2005,-78.3455501237,34.9565492848,
286_6_1_0_17_847_13601,2005,-78.3401251468,35.1240018447,2008.0
286_6_1_0_17_847_13612,2005,-78.3392026388,35.1523394392,2008.0
286_6_1_0_17_847_13617,2005,-78.3387828911,35.1652201131,2008.0
286_6_1_0_17_848_13522,2005,-78.3435849958,34.9204135361,2008.0
286_6_1_0_17_849_13505,2005,-78.3418695476,34.8765488646,2008.0
286_6_1_0_17_849_13535,2005,-78.3393752305,34.9538361158,2008.0
286_6_1_0_17_849_13582,2005,-78.3354483248,35.0749171808,2008.0
286_6_1_0_17_849_13620,2005,-78.3322562129,35.1728104574,2008.0
286_6_1_0_17_850_13616,2005,-78.3294560099,35.1624368707,2010.0
286_6_1_0_17_850_13618,2005,-78.3292874653,35.1675890946,2008.0
286_6_1_0_17_851_13518,2005,-78.3345351972,34.909903113,2008.0
286_6_1_0_17_851_13535,2005,-78.3331172673,34.95369886,2008.0
286_6_1_0_17_851_13590,2005,-78.3285088339,35.0953884686,2008.0
286_6_1_0_17_851_13594,2005,-78.3281724188,35.1056930174,2008.0
286_6_1_0_17_852_13527,2005,-78.3306567248,34.933020446,2008.0
286_6_1_0_17_852_13668,2005,-78.3187757747,35.2962538706,2008.0
286_6_1_0_17_853_13498,2005,-78.3299487289,34.8582411418,2008.0
286_6_1_0_17_853_13614,2012,-78.320214348,35.157076841,2012.0
286_6_1_0_17_853_13658,2005,-78.3164843525,35.2704238315,2008.0
286_6_1_0_17_854_13487,2005,-78.32774013,34.8298337917,2008.0
286_6_1_0_17_854_13508,2005,-78.325988879,34.8839347804,
286_6_1_0_17_854_13610,2005,-78.3174161017,35.146703044,2008.0
286_6_1_0_17_854_13658,2005,-78.3133432995,35.270354112,2008.0
286_6_1_0_17_854_13659,2005,-78.3132581854,35.2729301447,2008.0
286_6_1_0_17_855_13496,2005,-78.3238650315,34.8529512639,2008.0
286_6_1_0_17_855_13527,2005,-78.3212722345,34.9328138745,2008.0
286_6_1_0_17_855_13588,2005,-78.3161404007,35.089959317,2008.0
286_6_1_0_17_855_13623,2005,-78.3131779218,35.1801225956,2008.0
286_6_1_0_17_856_13520,2005,-78.3187311373,34.9147115163,2008.0
286_6_1_0_17_856_13599,2005,-78.3120755533,35.1182270235,2008.0
286_6_1_0_17_858_13478,2005,-78.3159957569,34.8063725364,2008.0
286_6_1_0_17_858_13531,2005,-78.3115513707,34.9429112643,2008.0
286_6_1_0_17_858_13613,2006,-78.3046159806,35.154152821,2008.0
286_6_1_0_17_858_13727,2008,-78.2948534129,35.4478158369,2008.0
286_6_1_0_17_859_13612,2006,-78.3015645452,35.1515069348,2008.0
286_6_1_0_17_859_13729,2005,-78.291532802,35.4528970713,2008.0
286_6_1_0_17_860_13663,2005,-78.2940685532,35.2828140363,2008.0
286_6_1_0_17_861_13516,2005,-78.3034311693,34.9040607887,2008.0
286_6_1_0_17_861_13582,2005,-78.2978459296,35.0740851051,2014.0
286_6_1_0_17_861_13609,2005,-78.2955475429,35.1436389064,2008.0
286_6_1_0_17_862_13502,2005,-78.3014842727,34.8679249766,2008.0
286_6_1_0_17_862_13604,2005,-78.2928381367,35.1306886318,2008.0
286_6_1_0_17_862_13612,2005,-78.2921552639,35.1512969846,2008.0
286_6_1_0_17_863_13599,2005,-78.2901294559,35.1177383107,2008.0
286_6_1_0_17_863_13687,2005,-78.2825756714,35.344425663,2009.0
286_6_1_0_17_865_13502,2005,-78.2921074086,34.8677164895,2008.0
286_6_1_0_17_865_13591,2008,-78.2845433487,35.096989624,2008.0
286_6_1_0_17_865_13645,2005,-78.2799121076,35.2360942342,2008.0
286_6_1_0_17_866_13501,2012,-78.289066411,34.8650706801,2012.0
286_6_1_0_17_868_13628,2005,-78.2719596903,35.1920907139,2008.0
286_6_1_0_17_869_13475,2005,-78.2818934353,34.7978813353,
286_6_1_0_17_869_13527,2005,-78.2774792175,34.931840304,2008.0
286_6_1_0_17_869_13543,2005,-78.276115126,34.9730577547,2008.0
286_6_1_0_17_869_13582,2012,-78.2727785275,35.0735239208,2012.0
286_6_1_0_17_869_13653,2005,-78.2666616538,35.2564188663,2008.0
286_6_1_0_17_870_13467,2005,-78.2794478033,34.7772022137,2008.0
286_6_1_0_17_870_13482,2005,-78.2781772946,34.8158446302,2008.0
286_6_1_0_17_870_13573,2005,-78.2704174852,35.050269142,2008.0
286_6_1_0_17_870_13741,2005,-78.2558541479,35.4830249932,2008.0
286_6_1_0_17_871_13485,2005,-78.2747990079,34.8235031353,2008.0
286_6_1_0_17_872_13478,2005,-78.2722699129,34.8054001395,
286_6_1_0_17_872_13481,2005,-78.2720150681,34.8131285637,2008.0
286_6_1_0_17_872_13516,2005,-78.2690346987,34.903292665,2008.0
286_6_1_0_17_872_13521,2005,-78.26860785,34.9161731233,2009.0
286_6_1_0_17_872_13530,2012,-78.2678388396,34.9393578679,2012.0
286_6_1_0_17_872_13565,2005,-78.2648398807,35.0295197797,2016.0
286_6_1_0_17_873_13508,2005,-78.2665909853,34.8826136074,2008.0
286_6_1_0_17_873_13519,2005,-78.2656514425,34.9109506123,2014.0
286_6_1_0_17_873_13559,2005,-78.2622238467,35.0139929634,
286_6_1_0_17_873_13571,2005,-78.261192171,35.0449052698,2008.0
286_6_1_0_17_873_13656,2005,-78.2538393236,35.2638621558,2008.0
286_6_1_0_17_873_13716,2005,-78.2486011279,35.4184143676,2008.0
286_6_1_0_17_874_13478,2005,-78.2660235354,34.805259945,2008.0
286_6_1_0_17_874_13500,2005,-78.2641481467,34.8619344951,2014.0
286_6_1_0_17_874_13514,2005,-78.2629519885,34.8979997964,2008.0
286_6_1_0_17_875_13548,2005,-78.2569081815,34.9855152273,2008.0
