facility_id,true_positive,latitude,longitude,new_cafo
north-carolina_cabarrus_3552_287_6_1_0_17_121_13624_00,0,35.334200319,-80.6157030464,0
north-carolina_cabarrus_7775_287_6_1_0_17_158_13638_00,1,35.3694536339,-80.4992566534,0
north-carolina_cabarrus_94_287_6_1_0_17_73_13650_00,0,35.4021445186,-80.7681553361,0
north-carolina_davie_7696_287_6_1_0_17_177_13888_00,0,36.0161717935,-80.434956205,0
north-carolina_caswell_2038_287_6_1_0_17_478_14084_00,0,36.515730116,-79.466900424,0
north-carolina_catawba_11623_287_6_1_0_17_-13_13750_00,1,35.6598492054,-81.0405854759,1
north-carolina_catawba_401_287_6_1_0_17_-147_13729_00,1,35.6049671668,-81.465447775,0
north-carolina_catawba_6423_287_6_1_0_17_-70_13761_00,0,35.6892270867,-81.2197699601,0
north-carolina_catawba_7852_287_6_1_0_17_-56_13738_00,1,35.6322251348,-81.1756272773,1
north-carolina_chatham_1198_287_6_1_0_17_466_13737_00,1,35.6181093315,-79.5205328007,0
north-carolina_chatham_1199_287_6_1_0_17_466_13738_00,1,35.621658814,-79.5218085984,0
north-carolina_chatham_12435_287_6_1_0_17_556_13726_00,0,35.5870156461,-79.236182681,0
north-carolina_chatham_1328_287_6_1_0_17_467_13739_00,1,35.6231636576,-79.5181261863,0
north-carolina_chatham_199_287_6_1_0_17_458_13762_00,1,35.6841226448,-79.5454391949,0
north-carolina_chatham_3106_287_6_1_0_17_481_13728_00,1,35.5949932376,-79.472971372,0
north-carolina_chatham_4219_287_6_1_0_17_490_13698_00,1,35.5162025903,-79.4460332746,0
north-carolina_chatham_4757_287_6_1_0_17_494_13728_00,1,35.5950225534,-79.434292129,1
north-carolina_chatham_6434_287_6_1_0_17_507_13743_00,1,35.6318744423,-79.3912829194,0
north-carolina_chatham_6891_287_6_1_0_17_510_13817_00,1,35.8232495867,-79.3787220812,0
north-carolina_chatham_7152_287_6_1_0_17_512_13824_00,1,35.8421038515,-79.3737063921,0
north-carolina_chatham_7126_287_6_1_0_17_512_13798_00,1,35.775548784,-79.3730041563,1
north-carolina_chatham_7293_287_6_1_0_17_514_13711_00,1,35.5498463145,-79.3706452236,1
north-carolina_chatham_7651_287_6_1_0_17_516_13815_00,1,35.819373656,-79.3611665244,0
north-carolina_cherokee_12885_287_6_1_0_17_-915_13574_00,1,35.1715610751,-83.8803989424,1
north-carolina_cleveland_10006_287_6_1_0_17_-162_13597_00,0,35.263326306,-81.5090023657,0
north-carolina_cleveland_3694_287_6_1_0_17_-204_13679_00,1,35.4761815942,-81.6459107325,0
north-carolina_cleveland_4730_287_6_1_0_17_-197_13654_00,1,35.4116220214,-81.621173062,1
north-carolina_cleveland_5175_287_6_1_0_17_-194_13641_00,1,35.3766637141,-81.6111386714,0
north-carolina_cleveland_5493_287_6_1_0_17_-192_13653_00,1,35.4089818074,-81.6043031749,1
north-carolina_cleveland_670_287_6_1_0_17_-226_13604_00,1,35.2809511453,-81.7134985436,0
north-carolina_cleveland_6462_287_6_1_0_17_-186_13698_00,1,35.5255291447,-81.5856995208,0
north-carolina_cleveland_7245_287_6_1_0_17_-180_13568_00,1,35.188645897,-81.566276086,1
north-carolina_columbus_1001_287_6_1_0_17_647_13212_00,0,34.2519843098,-78.9818284957,0
north-carolina_columbus_11599_287_6_1_0_17_727_13193_00,0,34.1979967343,-78.7342060439,0
north-carolina_columbus_17802_287_6_1_0_17_760_13149_00,0,34.0828760573,-78.6340205221,0
north-carolina_columbus_25297_287_6_1_0_17_821_13246_00,1,34.3319148003,-78.4390491678,1
north-carolina_davidson_10905_287_6_1_0_17_261_13799_00,0,35.7848860711,-80.1707219649,0
north-carolina_davidson_12921_287_6_1_0_17_271_13793_00,1,35.7698251843,-80.1366430153,0
north-carolina_davidson_13596_287_6_1_0_17_274_13864_00,0,35.9531659094,-80.1269559945,0
north-carolina_davidson_13625_287_6_1_0_17_275_13692_00,1,35.5089575933,-80.1280750108,0
north-carolina_davidson_13825_287_6_1_0_17_276_13691_00,1,35.5065576631,-80.1263085165,0
north-carolina_davidson_1744_287_6_1_0_17_199_13779_00,0,35.7351162886,-80.3663043044,0
north-carolina_davidson_18209_287_6_1_0_17_300_13882_00,0,35.9979835275,-80.0414732887,0
north-carolina_davidson_4465_287_6_1_0_17_222_13783_00,0,35.743505308,-80.2933977595,0
north-carolina_davidson_4607_287_6_1_0_17_223_13786_00,0,35.750431916,-80.2911214949,0
north-carolina_davidson_465_287_6_1_0_17_179_13787_00,0,35.7569840367,-80.4307001349,0
north-carolina_davidson_5892_287_6_1_0_17_232_13797_00,0,35.780540115,-80.2600767641,0
north-carolina_davie_150_287_6_1_0_17_95_13851_00,1,35.9222515314,-80.6978714001,1
north-carolina_davie_612_287_6_1_0_17_101_13861_00,1,35.9478611911,-80.6758982412,1
north-carolina_davie_7166_287_6_1_0_17_171_13848_00,0,35.9135448957,-80.4542990622,0
north-carolina_durham_1686_287_6_1_0_17_643_13962_00,0,36.1928569596,-78.9456998232,0
north-carolina_durham_2723_287_6_1_0_17_651_13839_00,0,35.8732091014,-78.9295135013,0
north-carolina_durham_4610_287_6_1_0_17_664_13852_00,0,35.9070485117,-78.8862398491,0
north-carolina_durham_8978_287_6_1_0_17_702_13904_00,0,36.039347251,-78.7635180233,0
north-carolina_forsyth_12728_287_6_1_0_17_296_13920_00,0,36.0979659708,-80.0567261703,0
north-carolina_franklin_11004_287_6_1_0_17_872_13958_00,1,36.1679549605,-78.2176576042,1
north-carolina_franklin_11067_287_6_1_0_17_873_13872_00,0,35.9446678319,-78.2211395371,0
north-carolina_franklin_14152_287_6_1_0_17_898_13941_00,0,36.1210258523,-78.1346827629,0
north-carolina_franklin_14423_287_6_1_0_17_901_13948_00,0,36.1381779339,-78.1235206599,0
